season,model week,location,target,type,entry,score,competition_week
2018/2019,MW42,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.4940645577144573,1
2018/2019,MW43,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.5616145023789401,2
2018/2019,MW44,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.2890346473104237,3
2018/2019,MW45,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.19449009284774396,4
2018/2019,MW46,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.30241026375729274,5
2018/2019,MW47,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.15121068532935786,6
2018/2019,MW48,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.06657474404466236,7
2018/2019,MW49,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.21753033070227937,8
2018/2019,MW50,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-1.0908526519453878,9
2018/2019,MW51,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.24568764199517854,10
2018/2019,MW52,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.25940545968351214,11
2018/2019,MW53,HHS Region 4,Season onset,Bin,Delphi-Epicast2,-0.25318187354121996,12
2018/2019,MW42,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.0949169380846577,1
2018/2019,MW43,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.0859866591412486,2
2018/2019,MW44,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.0874994232706634,3
2018/2019,MW45,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.0942122571281652,4
2018/2019,MW46,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.091701978040295,5
2018/2019,MW47,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-1.1939772210148545,6
2018/2019,MW48,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.399638786654834,7
2018/2019,MW49,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.07443398269717086,8
