season,model week,location,target,type,entry,score,competition_week
2018/2019,MW44,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.7419919221257159,3
2018/2019,MW45,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.6233463335540335,4
2018/2019,MW46,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.4772264370999147,5
2018/2019,MW47,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.4340444835667067,6
2018/2019,MW48,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.5246142900370784,7
2018/2019,MW49,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.29977083334470417,8
2018/2019,MW50,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.31311283124729705,9
2018/2019,MW51,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.3759449780485705,10
2018/2019,MW52,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.3706732275486206,11
2018/2019,MW53,HHS Region 4,Season onset,Bin,Delphi-Stat,-0.31253556356358386,12
2018/2019,MW42,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.2780052746418484,1
2018/2019,MW43,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.2671010052867704,2
2018/2019,MW44,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.2853459321282503,3
2018/2019,MW45,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.262603051467975,4
2018/2019,MW46,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.4720880916781052,5
2018/2019,MW47,HHS Region 5,Season onset,Bin,Delphi-Stat,-1.2049173200730239,6
2018/2019,MW48,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.8941358989937591,7
2018/2019,MW49,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.5072002363956248,8
2018/2019,MW50,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.3822512990753968,9
2018/2019,MW51,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.06768223724791715,10
2018/2019,MW52,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.054059798582742034,11
2018/2019,MW53,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.06847061506354736,12
2018/2019,MW54,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.05271880676577026,13
2018/2019,MW55,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.05938631848251244,14
2018/2019,MW56,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.05096983696132972,15
2018/2019,MW57,HHS Region 5,Season onset,Bin,Delphi-Stat,-0.06943838394343738,16
2018/2019,MW42,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.5119076466468868,1
2018/2019,MW43,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.3924121742228652,2
2018/2019,MW44,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.4902251600152596,3
2018/2019,MW45,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.4247085692809203,4
2018/2019,MW46,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.4120008303245126,5
2018/2019,MW47,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.331056511921629,6
2018/2019,MW48,HHS Region 6,Season onset,Bin,Delphi-Stat,-1.029000618848527,7
2018/2019,MW49,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.8595053085107242,8
2018/2019,MW50,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.6709456192335085,9
2018/2019,MW51,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.3825740694744863,10
2018/2019,MW52,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.09960492787649791,11
2018/2019,MW53,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.0502272258084326,12
2018/2019,MW54,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.0537624720696975,13
2018/2019,MW55,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.05203200411519815,14
2018/2019,MW56,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.05001518702547205,15
2018/2019,MW57,HHS Region 6,Season onset,Bin,Delphi-Stat,-0.047216111662163114,16
2018/2019,MW42,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.5975001824734185,1
2018/2019,MW43,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.2942859027099336,2
2018/2019,MW44,HHS Region 7,Season onset,Bin,Delphi-Stat,-2.6628476209354623,3
2018/2019,MW45,HHS Region 7,Season onset,Bin,Delphi-Stat,-2.3819566299434944,4
2018/2019,MW46,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.0197920845401953,5
2018/2019,MW47,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.1620939638855035,6
2018/2019,MW48,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.5836648111014893,7
2018/2019,MW49,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.42414271809587356,8
2018/2019,MW50,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.196421283396132,9
2018/2019,MW51,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.9979014614277072,10
2018/2019,MW52,HHS Region 7,Season onset,Bin,Delphi-Stat,-1.2697339823726965,11
2018/2019,MW53,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.06866256120453278,12
2018/2019,MW54,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.06536714818479784,13
2018/2019,MW55,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.06409397235996074,14
2018/2019,MW56,HHS Region 7,Season onset,Bin,Delphi-Stat,-0.0496189731817801,15
2018/2019,MW42,HHS Region 8,Season onset,Bin,Delphi-Stat,-1.8183078065259826,1
2018/2019,MW43,HHS Region 8,Season onset,Bin,Delphi-Stat,-1.8915594052993474,2
2018/2019,MW44,HHS Region 8,Season onset,Bin,Delphi-Stat,-1.4686096606519066,3
2018/2019,MW45,HHS Region 8,Season onset,Bin,Delphi-Stat,-1.2950821078047094,4
2018/2019,MW46,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.8796948250717413,5
2018/2019,MW47,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.5377028881893708,6
2018/2019,MW48,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.07434245067359739,7
2018/2019,MW49,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.04830046343726598,8
2018/2019,MW50,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.052364408000961656,9
2018/2019,MW51,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.054231057206019624,10
2018/2019,MW52,HHS Region 8,Season onset,Bin,Delphi-Stat,-0.0554421226693423,11
2018/2019,MW42,HHS Region 9,Season onset,Bin,Delphi-Stat,-1.1466049942429004,1
2018/2019,MW43,HHS Region 9,Season onset,Bin,Delphi-Stat,-1.1179079476033087,2
2018/2019,MW44,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.9220083649975139,3
2018/2019,MW45,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.8761261198585312,4
2018/2019,MW46,HHS Region 9,Season onset,Bin,Delphi-Stat,-1.3191841521871726,5
2018/2019,MW47,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.7249129822902487,6
2018/2019,MW48,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.3408324502742338,7
2018/2019,MW49,HHS Region 9,Season onset,Bin,Delphi-Stat,-1.0147376455024846,8
2018/2019,MW50,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.06516011119784156,9
2018/2019,MW51,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.06912528358698776,10
2018/2019,MW52,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.06291048914886417,11
2018/2019,MW53,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.074550646705024,12
2018/2019,MW54,HHS Region 9,Season onset,Bin,Delphi-Stat,-0.08430405620903304,13
2018/2019,MW42,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.164692958618487,1
2018/2019,MW43,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.2299761380190697,2
2018/2019,MW44,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.117188145170648,3
2018/2019,MW45,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.2150112715632126,4
2018/2019,MW46,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.035081909600346,5
2018/2019,MW47,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.7858091507192527,6
2018/2019,MW48,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.453149133736802,7
2018/2019,MW49,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.41817260413552115,8
2018/2019,MW50,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.28861203659331464,9
2018/2019,MW51,HHS Region 10,Season onset,Bin,Delphi-Stat,-1.3096348036930927,10
2018/2019,MW52,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.12648726887996758,11
2018/2019,MW53,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.12919396592998103,12
2018/2019,MW54,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.12508671045056588,13
2018/2019,MW55,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.15754516342413313,14
2018/2019,MW56,HHS Region 10,Season onset,Bin,Delphi-Stat,-0.11785496804543008,15
2018/2019,MW42,US National,Season peak week,Bin,Delphi-Stat,-1.9079453897286158,1
2018/2019,MW43,US National,Season peak week,Bin,Delphi-Stat,-2.169788635327827,2
2018/2019,MW44,US National,Season peak week,Bin,Delphi-Stat,-1.9449527003182527,3
2018/2019,MW45,US National,Season peak week,Bin,Delphi-Stat,-1.5918282209774213,4
2018/2019,MW46,US National,Season peak week,Bin,Delphi-Stat,-1.515107027727341,5
2018/2019,MW47,US National,Season peak week,Bin,Delphi-Stat,-1.5256661795596949,6
2018/2019,MW48,US National,Season peak week,Bin,Delphi-Stat,-1.4300704626460887,7
2018/2019,MW49,US National,Season peak week,Bin,Delphi-Stat,-1.3092081365209893,8
2018/2019,MW50,US National,Season peak week,Bin,Delphi-Stat,-1.2545744625072928,9
2018/2019,MW51,US National,Season peak week,Bin,Delphi-Stat,-1.310833433912175,10
2018/2019,MW52,US National,Season peak week,Bin,Delphi-Stat,-1.4305478674736614,11
2018/2019,MW53,US National,Season peak week,Bin,Delphi-Stat,-1.4653053758448715,12
2018/2019,MW54,US National,Season peak week,Bin,Delphi-Stat,-1.5367960198507609,13
2018/2019,MW55,US National,Season peak week,Bin,Delphi-Stat,-1.367708927720204,14
2018/2019,MW56,US National,Season peak week,Bin,Delphi-Stat,-1.0605028582496505,15
